  CAT: bitclave, blockcat, catcoin
  BTM: bytom, bitmark
  PUT: profile-utility-token, putincoin
  NET: nimiq, netcoin
  BLZ: bluzelle, blazecoin
  BTG: bitcoin-gold, bitgem
  GTC: game, global-tour-coin
  CMT: cybermiles, comet
SMART: smartcash, smartbillions
  ACC: adcoin, accelerator-network, acchain
  ICN: iconomi, icoin
  RMC: russian-mining-coin, remicoin
  GCC: thegcccoin, guccionecoin
  KNC: kyber-network, kingn-coin
 LBTC: litebitcoin, lightning-bitcoin
 FAIR: faircoin, fairgame
  CPC: capricoin, cpchain
  HMC: harmonycoin-hmc, health-mutual-society
  ENT: eternity, entcash
  BLT: bloomtoken, bitcoin-lightning
  CMS: comsa-eth, comsa-xem
  CAN: canyacoin, content-and-ad-network
  XIN: mixin, infinity-economics
  MAG: magnet, maggie
  WIC: waykichain, wi-coin
 RUPX: rupaya, rupaya-old
  QBT: qbao, cubits
  ETT: encryptotel, encryptotel-eth
  HNC: helleniccoin, huncoin
  BET: dao-casino, betacoin
  RCN: ripio-credit-network, rcoin
  XID: sphre-air, international-diamond
 BTCS: bitcoin-scrypt, bitcoin-silver
 CASH: cashcoin, cash-poker-pro
